#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_002794235.1	PRJNA224116	SAMN07821881	PGLU00000000.1	na	33060	33060	Yersinia mollaretii	strain=SCPM-O-B-7609		latest	Contig	Major	Full	2017/11/20	ASM279423v1	SRCAMB	GCA_002794235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/794/235/GCF_002794235.1_ASM279423v1		
GCF_902170625.1	PRJNA224116	SAMEA5778929	CABHYI000000000.1	na	33060	33060	Yersinia mollaretii		IP37695	latest	Contig	Major	Full	2019/07/31	IP37695	INSTITUT PASTEUR	GCA_902170625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/625/GCF_902170625.1_IP37695		
GCF_902170635.1	PRJNA224116	SAMEA5778927	CABHYV000000000.1	na	33060	33060	Yersinia mollaretii		IP36688	latest	Contig	Major	Full	2019/07/31	IP36688	INSTITUT PASTEUR	GCA_902170635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/635/GCF_902170635.1_IP36688		
GCF_902170645.1	PRJNA224116	SAMEA5778923	CABHYS000000000.1	na	33060	33060	Yersinia mollaretii		IP27339	latest	Contig	Major	Full	2019/07/31	IP27339	INSTITUT PASTEUR	GCA_902170645.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/645/GCF_902170645.1_IP27339		
GCF_902170675.1	PRJNA224116	SAMEA5778925	CABHYK000000000.1	na	33060	33060	Yersinia mollaretii		IP28910	latest	Contig	Major	Full	2019/07/31	IP28910	INSTITUT PASTEUR	GCA_902170675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/675/GCF_902170675.1_IP28910		
GCF_902170695.1	PRJNA224116	SAMEA5778924	CABHYE000000000.1	na	33060	33060	Yersinia mollaretii		IP28240	latest	Contig	Major	Full	2019/07/31	IP28240	INSTITUT PASTEUR	GCA_902170695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/695/GCF_902170695.1_IP28240		
GCF_902170725.1	PRJNA224116	SAMEA5778928	CABHYM000000000.1	na	33060	33060	Yersinia mollaretii		IP36729	latest	Contig	Major	Full	2019/07/30	IP36729	INSTITUT PASTEUR	GCA_902170725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/725/GCF_902170725.1_IP36729		
GCF_902170745.1	PRJNA224116	SAMEA5778922	CABHYJ000000000.1	na	33060	33060	Yersinia mollaretii		IP26765	latest	Contig	Major	Full	2019/07/31	IP26765	INSTITUT PASTEUR	GCA_902170745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/745/GCF_902170745.1_IP26765		
GCF_902170755.1	PRJNA224116	SAMEA5778930	CABHYF000000000.1	na	33060	33060	Yersinia mollaretii		IP39060	latest	Contig	Major	Full	2019/07/31	IP39060	INSTITUT PASTEUR	GCA_902170755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/755/GCF_902170755.1_IP39060		
GCF_902170795.1	PRJNA224116	SAMEA5778926	CABHYO000000000.1	na	33060	33060	Yersinia mollaretii		IP33651	latest	Contig	Major	Full	2019/07/31	IP33651	INSTITUT PASTEUR	GCA_902170795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/170/795/GCF_902170795.1_IP33651		
GCF_902387525.1	PRJNA224116	SAMEA5851976	CABMMJ000000000.1	na	33060	33060	Yersinia mollaretii		MGYG-HGUT-02471	latest	Scaffold	Major	Full	2019/08/16	UHGG_MGYG-HGUT-02471	EMG	GCA_902387525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/387/525/GCF_902387525.1_UHGG_MGYG-HGUT-02471		
