,species,refseq_id,name,description,assembly_name,assembly_level,plasmid,hit_num,Complete,A1_count,A2_count,TcB_count,TcC_count,TcdA1_count,all_hits
19,Proteus mirabilis,GCF_013256075.1,NZ_CP053901.1,"NZ_CP053901.1 Proteus mirabilis strain YPM35 plasmid pJPM35-3, complete sequence",ASM1325607v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
20,Proteus mirabilis,GCF_004570665.1,SPTG01,SPTG01,ASM457066v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
21,Proteus mirabilis,GCF_013344565.1,JABVMA01,JABVMA01,ASM1334456v1,Contig,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
22,Proteus mirabilis,GCF_015694005.1,NZ_CP065145.1,"NZ_CP065145.1 Proteus mirabilis strain PmBJ023 chromosome, complete genome",ASM1569400v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
23,Proteus mirabilis,GCF_008195605.1,NZ_CP043332.1,"NZ_CP043332.1 Proteus mirabilis strain CRPM10 chromosome, complete genome",ASM819560v1,Complete Genome,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
24,Proteus mirabilis,GCF_008195605.1,NZ_CP043333.1,"NZ_CP043333.1 Proteus mirabilis strain CRPM10 plasmid pNDM-5, complete sequence",ASM819560v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
25,Proteus mirabilis,GCF_000972665.1,LANL01,LANL01,ASM97266v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
26,Proteus mirabilis,GCF_003856195.1,RQSG01,RQSG01,ASM385619v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
27,Proteus mirabilis,GCF_011602865.1,JAAONO01,JAAONO01,ASM1160286v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
28,Proteus mirabilis,GCF_002944495.1,NZ_CP026571.1,"NZ_CP026571.1 Proteus mirabilis strain BC11-24 chromosome, complete genome",ASM294449v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
29,Proteus mirabilis,GCF_011603015.1,JAAONJ01,JAAONJ01,ASM1160301v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
30,Proteus mirabilis,GCF_001066855.1,JUXR01,JUXR01,ASM106685v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
31,Proteus mirabilis,GCF_010590805.1,VKTR01,VKTR01,ASM1059080v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
32,Proteus mirabilis,GCF_004569245.1,SPSS01,SPSS01,ASM456924v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
33,Proteus mirabilis,GCF_003583505.1,QXIN01,QXIN01,ASM358350v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
34,Proteus mirabilis,GCF_000755485.1,JOVJ01,JOVJ01,ASM75548v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
35,Proteus mirabilis,GCF_014212635.1,JACKXR01,JACKXR01,ASM1421263v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
36,Proteus mirabilis,GCF_011067125.1,JAAMPE01,JAAMPE01,ASM1106712v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
37,Proteus mirabilis,GCF_009749175.1,RCIJ01,RCIJ01,ASM974917v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
38,Proteus mirabilis,GCF_002310875.1,NZ_CP017082.1,"NZ_CP017082.1 Proteus mirabilis strain T21 chromosome, complete genome",ASM231087v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
39,Proteus mirabilis,GCF_002310875.1,NZ_CP017083.1,"NZ_CP017083.1 Proteus mirabilis strain T21 plasmid pT211, complete sequence",ASM231087v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
40,Proteus mirabilis,GCF_002310875.1,NZ_CP017084.1,"NZ_CP017084.1 Proteus mirabilis strain T21 plasmid pT212, complete sequence",ASM231087v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
41,Proteus mirabilis,GCF_004570275.1,SPSZ01,SPSZ01,ASM457027v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
42,Proteus mirabilis,GCF_004570765.1,SPTE01,SPTE01,ASM457076v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
43,Proteus mirabilis,GCF_001060285.1,JWCS01,JWCS01,ASM106028v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
44,Proteus mirabilis,GCF_001640165.1,LWDB01,LWDB01,ASM164016v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
45,Proteus mirabilis,GCF_015560685.1,JADMSH01,JADMSH01,ASM1556068v1,Scaffold,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
46,Proteus mirabilis,GCF_015693985.1,NZ_CP065144.1,"NZ_CP065144.1 Proteus mirabilis strain PmBJ024 chromosome, complete genome",ASM1569398v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
47,Proteus mirabilis,GCF_004569255.1,SPST01,SPST01,ASM456925v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
48,Proteus mirabilis,GCF_009183705.1,WEKI01,WEKI01,ASM918370v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
49,Proteus mirabilis,GCF_014212565.1,JACKXP01,JACKXP01,ASM1421256v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
50,Proteus mirabilis,GCF_001076695.1,JVJQ01,JVJQ01,ASM107669v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
51,Proteus mirabilis,GCF_004347585.1,SLUF01,SLUF01,ASM434758v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
52,Proteus mirabilis,GCF_013184655.1,JAAQRB01,JAAQRB01,ASM1318465v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
53,Proteus mirabilis,GCF_012516515.1,NZ_CP051260.1,"NZ_CP051260.1 Proteus mirabilis strain STP3 chromosome, complete genome",ASM1251651v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
54,Proteus mirabilis,GCF_000069965.1,NC_010554.1,"NC_010554.1 Proteus mirabilis HI4320, complete sequence",ASM6996v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
55,Proteus mirabilis,GCF_000069965.1,NC_010555.1,"NC_010555.1 Proteus mirabilis HI4320 plasmid pHI4320, complete sequence",ASM6996v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
56,Proteus mirabilis,GCF_002206145.2,NJFA02,NJFA02,ASM220614v2,Contig,False,5,True,1.0,1.0,1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcdA1_expanded
57,Proteus mirabilis,GCF_013358795.1,NZ_CP046048.1,"NZ_CP046048.1 Proteus mirabilis strain HN2p chromosome HN2p, complete sequence",ASM1335879v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
58,Proteus mirabilis,GCF_010588155.1,VKSC01,VKSC01,ASM1058815v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
59,Proteus mirabilis,GCF_004570775.1,SPTF01,SPTF01,ASM457077v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
60,Proteus mirabilis,GCF_009749225.1,RCIL01,RCIL01,ASM974922v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
61,Proteus mirabilis,GCF_009821675.1,VDJG01,VDJG01,ASM982167v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
62,Proteus mirabilis,GCF_004570065.1,SPTD01,SPTD01,ASM457006v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
63,Proteus mirabilis,GCF_007012285.1,NZ_CP041391.1,NZ_CP041391.1 Proteus mirabilis strain CLPM181223 chromosome,ASM701228v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
64,Proteus mirabilis,GCF_011365085.1,SCIO01,SCIO01,ASM1136508v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
65,Proteus mirabilis,GCF_013184715.1,JAAQQY01,JAAQQY01,ASM1318471v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
66,Proteus mirabilis,GCF_010590425.1,VKTB01,VKTB01,ASM1059042v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
67,Proteus mirabilis,GCF_003175495.1,BGKW01,BGKW01,ASM317549v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
68,Proteus mirabilis,GCF_014212665.1,JACKXT01,JACKXT01,ASM1421266v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
69,Proteus mirabilis,GCF_003185705.1,QHLF01,QHLF01,ASM318570v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
70,Proteus mirabilis,GCF_001064105.1,JVOK01,JVOK01,ASM106410v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
71,Proteus mirabilis,GCF_009684595.1,NZ_CP044134.1,NZ_CP044134.1 Proteus mirabilis strain ENT1224 chromosome,ASM968459v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
72,Proteus mirabilis,GCF_004570225.1,SPTL01,SPTL01,ASM457022v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
73,Proteus mirabilis,GCF_000783465.2,JTAW02,JTAW02,ASM78346v2,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
74,Proteus mirabilis,GCF_011602885.1,JAAOMY01,JAAOMY01,ASM1160288v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
75,Proteus mirabilis,GCF_003856175.1,RQSF01,RQSF01,ASM385617v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
76,Proteus mirabilis,GCF_001063205.1,JVKD01,JVKD01,ASM106320v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
77,Proteus mirabilis,GCF_007197655.1,VKHU01,VKHU01,ASM719765v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
78,Proteus mirabilis,GCF_003322945.1,PURY01,PURY01,ASM332294v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
79,Proteus mirabilis,GCF_011604105.1,JAAONC01,JAAONC01,ASM1160410v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
80,Proteus mirabilis,GCF_001060765.1,JVWE01,JVWE01,ASM106076v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
81,Proteus mirabilis,GCF_009184605.1,WEKK01,WEKK01,ASM918460v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
82,Proteus mirabilis,GCF_004570785.1,SPTM01,SPTM01,ASM457078v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
83,Proteus mirabilis,GCF_010597725.1,VKWW01,VKWW01,ASM1059772v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
84,Proteus mirabilis,GCF_003073935.1,NZ_CP029129.1,"NZ_CP029129.1 Proteus mirabilis strain AR379 plasmid unnamed1, complete sequence",ASM307393v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
85,Proteus mirabilis,GCF_003073935.1,NZ_CP029130.1,NZ_CP029130.1 Proteus mirabilis strain AR379 plasmid unnamed2,ASM307393v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
86,Proteus mirabilis,GCF_003073935.1,NZ_CP029131.1,NZ_CP029131.1 Proteus mirabilis strain AR379 plasmid unnamed3,ASM307393v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
87,Proteus mirabilis,GCF_003073935.1,NZ_CP029132.1,NZ_CP029132.1 Proteus mirabilis strain AR379 plasmid unnamed4,ASM307393v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
88,Proteus mirabilis,GCF_003073935.1,NZ_CP029133.1,"NZ_CP029133.1 Proteus mirabilis strain AR379 chromosome, complete genome",ASM307393v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
89,Proteus mirabilis,GCF_003073935.1,NZ_CP029134.1,NZ_CP029134.1 Proteus mirabilis strain AR379 plasmid unnamed5,ASM307393v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
90,Proteus mirabilis,GCF_002310895.1,NZ_CP017085.1,"NZ_CP017085.1 Proteus mirabilis strain T18 chromosome, complete genome",ASM231089v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
91,Proteus mirabilis,GCF_002310895.1,NZ_CP017086.1,"NZ_CP017086.1 Proteus mirabilis strain T18 plasmid pT18, complete sequence",ASM231089v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
92,Proteus mirabilis,GCF_009684665.1,NZ_CP044136.1,"NZ_CP044136.1 Proteus mirabilis strain ENT1157 chromosome, complete genome",ASM968466v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
93,Proteus mirabilis,GCF_011602985.1,JAAONK01,JAAONK01,ASM1160298v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
94,Proteus mirabilis,GCF_009829055.1,WURR01,WURR01,ASM982905v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
95,Proteus mirabilis,GCF_002945235.1,NZ_CP026581.1,"NZ_CP026581.1 Proteus mirabilis isolate GN2 chromosome, complete genome",ASM294523v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
96,Proteus mirabilis,GCF_011149675.1,NZ_CP049753.1,"NZ_CP049753.1 Proteus mirabilis strain PmBR607 chromosome, complete genome",ASM1114967v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
97,Proteus mirabilis,GCF_011149675.1,NZ_CP049754.1,"NZ_CP049754.1 Proteus mirabilis strain PmBR607 plasmid unnamed1, complete sequence",ASM1114967v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
98,Proteus mirabilis,GCF_011149675.1,NZ_CP049755.1,"NZ_CP049755.1 Proteus mirabilis strain PmBR607 plasmid unnamed2, complete sequence",ASM1114967v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
99,Proteus mirabilis,GCF_008705195.1,NZ_CP044028.1,"NZ_CP044028.1 Proteus mirabilis strain K817 chromosome, complete genome",ASM870519v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
100,Proteus mirabilis,GCF_014931585.1,NZ_CP047929.1,"NZ_CP047929.1 Proteus mirabilis strain ChSC1905 chromosome, complete genome",ASM1493158v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
101,Proteus mirabilis,GCF_011604145.1,JAAONF01,JAAONF01,ASM1160414v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
102,Proteus mirabilis,GCF_001617295.1,LQNN01,LQNN01,ASM161729v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
103,Proteus mirabilis,GCF_000783595.2,NZ_CP026059.1,"NZ_CP026059.1 Proteus mirabilis strain FDAARGOS_80 chromosome, complete genome",ASM78359v2,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
104,Proteus mirabilis,GCF_000783595.2,NZ_CP026060.1,"NZ_CP026060.1 Proteus mirabilis strain FDAARGOS_80 plasmid unnamed1, complete sequence",ASM78359v2,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
105,Proteus mirabilis,GCF_000783595.2,NZ_CP026061.1,"NZ_CP026061.1 Proteus mirabilis strain FDAARGOS_80 plasmid unnamed2, complete sequence",ASM78359v2,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
106,Proteus mirabilis,GCF_015666255.1,JADOZD01,JADOZD01,ASM1566625v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
107,Proteus mirabilis,GCF_011604205.1,JAAONI01,JAAONI01,ASM1160420v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
108,Proteus mirabilis,GCF_010598005.1,VKXK01,VKXK01,ASM1059800v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
109,Proteus mirabilis,GCF_900101725.1,FNAA01,FNAA01,IMG-taxon 2654588119 annotated assembly,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
110,Proteus mirabilis,GCF_003024745.1,PUXR01,PUXR01,ASM302474v1,Contig,False,5,True,2.0,1.0,1.0,1.0,2.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded TcdA1_expanded
111,Proteus mirabilis,GCF_002265355.1,NOWA01,NOWA01,ASM226535v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
112,Proteus mirabilis,GCF_000297835.1,AMGU01,AMGU01,Prot_mira_WGLW4_V1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
113,Proteus mirabilis,GCF_001062745.1,JVTJ01,JVTJ01,ASM106274v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
114,Proteus mirabilis,GCF_004570195.1,SPTB01,SPTB01,ASM457019v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
115,Proteus mirabilis,GCF_011604045.1,JAAONB01,JAAONB01,ASM1160404v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
116,Proteus mirabilis,GCF_010590385.1,VKSZ01,VKSZ01,ASM1059038v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
117,Proteus mirabilis,GCF_003855615.1,NZ_CP034091.1,"NZ_CP034091.1 Proteus mirabilis strain PmBC1123 chromosome, complete genome",ASM385561v1,Complete Genome,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
118,Proteus mirabilis,GCF_000372565.1,AORN01,AORN01,PM version 1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
119,Proteus mirabilis,GCF_004522505.1,SDUJ01,SDUJ01,ASM452250v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
120,Proteus mirabilis,GCF_011604155.1,JAAOMU01,JAAOMU01,ASM1160415v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
121,Proteus mirabilis,GCF_013357545.1,NZ_CP053684.1,"NZ_CP053684.1 Proteus mirabilis strain MPE5139 chromosome, complete genome",ASM1335754v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
122,Proteus mirabilis,GCF_001653835.1,LWUL01,LWUL01,ASM165383v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
123,Proteus mirabilis,GCF_001062655.1,JVUE01,JVUE01,ASM106265v1,Scaffold,False,5,True,1.0,1.0,1.0,2.0,1.0,TcB_expanded A2_expanded TcC_expanded TcC_expanded TcdA1_expanded
124,Proteus mirabilis,GCF_001604705.1,LAGU01,LAGU01,ASM160470v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
125,Proteus mirabilis,GCF_009821695.1,VDJF01,VDJF01,ASM982169v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
126,Proteus mirabilis,GCF_004570595.1,SPOX01,SPOX01,ASM457059v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
127,Proteus mirabilis,GCF_003051845.1,NZ_CP028522.1,NZ_CP028522.1 Proteus mirabilis strain K1609 chromosome,ASM305184v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
128,Proteus mirabilis,GCF_009684635.1,NZ_CP044135.1,NZ_CP044135.1 Proteus mirabilis strain ENT1301 chromosome,ASM968463v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
129,Proteus mirabilis,GCF_001060325.1,JWBY01,JWBY01,ASM106032v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
130,Proteus mirabilis,GCF_013357445.1,NZ_CP053614.1,"NZ_CP053614.1 Proteus mirabilis strain MPE0108 chromosome, complete genome",ASM1335744v1,Complete Genome,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
131,Proteus mirabilis,GCF_006517685.1,VHOK01,VHOK01,ASM651768v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
132,Proteus mirabilis,GCF_011604055.1,JAAONG01,JAAONG01,ASM1160405v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
133,Proteus mirabilis,GCF_012360255.1,WNEI01,WNEI01,ASM1236025v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
134,Proteus mirabilis,GCF_003194305.1,NZ_CP023273.1,NZ_CP023273.1 Proteus mirabilis strain CCUG 70746 chromosome,ASM319430v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
135,Proteus mirabilis,GCF_003194305.1,NZ_CP023274.1,"NZ_CP023274.1 Proteus mirabilis strain CCUG 70746 plasmid pPmi70746_1, complete sequence",ASM319430v1,Chromosome,True,0,False,0.0,0.0,0.0,0.0,0.0,
136,Proteus mirabilis,GCF_003688085.1,RDWB01,RDWB01,ASM368808v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
137,Proteus mirabilis,GCF_001867325.1,MCOR01,MCOR01,ASM186732v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
138,Proteus mirabilis,GCF_003175475.1,BGKV01,BGKV01,ASM317547v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
139,Proteus mirabilis,GCF_015693865.1,NZ_CP065147.1,"NZ_CP065147.1 Proteus mirabilis strain PmBJ015 chromosome, complete genome",ASM1569386v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
140,Proteus mirabilis,GCF_003030945.1,NZ_CP028356.1,NZ_CP028356.1 Proteus mirabilis strain K670 chromosome,ASM303094v1,Chromosome,False,0,False,0.0,0.0,0.0,0.0,0.0,
141,Proteus mirabilis,GCF_011602895.1,JAAONN01,JAAONN01,ASM1160289v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
142,Proteus mirabilis,GCF_009718905.1,WNBC01,WNBC01,ASM971890v1,Scaffold,False,4,True,1.0,1.0,1.0,1.0,1.0,TcB_expanded A2_expanded TcC_expanded TcdA1_expanded
143,Proteus mirabilis,GCF_010591085.1,VKUE01,VKUE01,ASM1059108v1,Scaffold,False,0,False,0.0,0.0,0.0,0.0,0.0,
144,Proteus mirabilis,GCF_009749085.1,RCIK01,RCIK01,ASM974908v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
145,Proteus mirabilis,GCF_013357505.1,NZ_CP053683.1,"NZ_CP053683.1 Proteus mirabilis strain MPE0027 chromosome, complete genome",ASM1335750v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
146,Proteus mirabilis,GCF_001448445.1,LGAY01,LGAY01,ASM144844v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
147,Proteus mirabilis,GCF_013357405.1,NZ_CP053615.1,"NZ_CP053615.1 Proteus mirabilis strain MPE0734 chromosome, complete genome",ASM1335740v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
148,Proteus mirabilis,GCF_002180235.1,NZ_CP021694.1,"NZ_CP021694.1 Proteus mirabilis strain AR_0155 chromosome, complete genome",ASM218023v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
149,Proteus mirabilis,GCF_002180235.1,NZ_CP021695.1,"NZ_CP021695.1 Proteus mirabilis strain AR_0155 plasmid tig00000123, complete sequence",ASM218023v1,Complete Genome,True,0,False,0.0,0.0,0.0,0.0,0.0,
150,Proteus mirabilis,GCF_007097095.1,VIYO01,VIYO01,ASM709709v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
151,Proteus mirabilis,GCF_015169015.1,NZ_CP063440.1,"NZ_CP063440.1 Proteus mirabilis strain Yak 2019 chromosome, complete genome",ASM1516901v1,Complete Genome,False,0,False,0.0,0.0,0.0,0.0,0.0,
152,Proteus mirabilis,GCF_009749185.1,RCII01,RCII01,ASM974918v1,Contig,False,0,False,0.0,0.0,0.0,0.0,0.0,
